solver,init,iter,residual_norm,correction_norm,lin_ratio,quad_ratio,loglog_slope
newton,cold,0,8.3529355531e-01,2.6713278149e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000
newton,cold,1,1.6768836790e-01,3.0845933696e-01,2.0075381504e-01,2.4033923614e-01,0.0000000000
newton,cold,2,2.3107188578e-02,3.7311017184e-02,1.3779839870e-01,8.2175287663e-01,1.2343484219
newton,cold,3,4.0642515605e-04,9.2665611146e-04,1.7588689108e-02,7.6117823889e-01,2.0386344978
newton,cold,4,2.1455985177e-07,3.6951299610e-07,5.2791971307e-04,1.2989346383e+00,1.8677311593
newton,cold,5,3.8670472642e-14,8.1444193434e-14,1.8023163385e-07,8.4000633092e-01,2.0577600792
picard,cold,0,3.2570128202e-01,1.5555647263e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000
picard,cold,1,1.5096690323e-01,4.7869616463e-01,4.6351338346e-01,1.4231242216e+00,0.0000000000
picard,cold,2,6.6224219056e-02,1.8945931023e-01,4.3866713591e-01,2.9057172567e+00,1.0716516218
picard,cold,3,2.7646115163e-02,7.5447841023e-02,4.1746230543e-01,6.3037709072e+00,1.0601283666
picard,cold,4,1.1241479534e-02,2.9537939067e-02,4.0662058548e-01,1.4708055113e+01,1.0301223667
picard,cold,5,4.5186044165e-03,1.1469161825e-02,4.0195815888e-01,3.5756695342e+01,1.0128157029
picard,cold,6,1.8056558131e-03,4.4563199237e-03,3.9960475551e-01,8.8435436846e+01,1.0064428424
picard,cold,7,7.4209165219e-04,1.6231033333e-03,4.1098178668e-01,2.2760804340e+02,0.9693954169
picard,cold,8,3.3415206138e-04,6.8267792377e-04,4.5028408606e-01,6.0677691864e+02,0.8972906750
picard,cold,9,2.5658293875e-04,1.3238420297e-04,7.6786280381e-01,2.2979442373e+03,0.3310589695
picard,cold,10,1.9007783451e-04,6.0331630183e-05,7.4080465146e-01,2.8871937279e+03,1.1358126118
picard,cold,11,1.9007783451e-04,0.0000000000e+00,1.0000000000e+00,5.2610026970e+03,-0.0000000000
newton,warm_1e-01,0,3.5536804746e-01,1.0156197908e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000
newton,warm_1e-01,1,1.1958922436e-02,6.4198573345e-03,3.3652216403e-02,9.4696798552e-02,0.0000000000
newton,warm_1e-01,2,3.7712230047e-05,1.6757887988e-05,3.1534806125e-03,2.6369270554e-01,1.6980536675
newton,warm_1e-01,3,6.7729738841e-10,3.2404727128e-10,1.7959621788e-05,4.7622805029e-01,1.8973629272
newton,warm_1e-01,4,6.8593508021e-16,4.7976535605e-16,1.0127531745e-06,1.4952858107e+03,1.2631419671
picard,warm_1e-01,0,4.0100857131e-02,8.7814716192e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000
picard,warm_1e-01,1,1.0053267015e-02,1.2802900147e-02,2.5069955442e-01,6.2517255828e+00,0.0000000000
picard,warm_1e-01,2,3.2963252959e-03,3.7457289679e-03,3.2788597886e-01,3.2614868219e+01,0.8059915542
picard,warm_1e-01,3,1.2144483269e-03,1.2681285086e-03,3.6842490285e-01,1.1176836925e+02,0.8954604165
picard,warm_1e-01,4,5.0424948140e-04,4.8460672183e-04,4.1520867561e-01,3.4189077165e+02,0.8802782906
picard,warm_1e-01,5,2.6323784222e-04,1.3262481841e-04,5.2203889530e-01,1.0352789929e+03,0.7395135045
picard,warm_1e-01,6,2.1467070457e-04,8.5267731355e-05,8.1550092782e-01,3.0979623634e+03,0.3137670510
picard,warm_1e-01,7,2.1467070457e-04,0.0000000000e+00,1.0000000000e+00,4.6582974701e+03,-0.0000000000
newton,warm_1e-02,0,3.5016873800e-02,9.9972483342e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000
newton,warm_1e-02,1,1.0192707830e-04,7.3223416667e-05,2.9107989160e-03,8.3125607748e-02,0.0000000000
newton,warm_1e-02,2,3.9188043765e-09,2.0687060676e-09,3.8447137325e-05,3.7720238789e-01,1.7409926022
newton,warm_1e-02,3,5.7114002232e-16,5.1947013708e-16,1.4574343791e-07,3.7190791861e+01,1.5484032664
picard,warm_1e-02,0,4.3749934434e-03,8.6940535070e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000
picard,warm_1e-02,1,1.1756300249e-03,1.2433933622e-03,2.6871583697e-01,6.1420854785e+01,0.0000000000
picard,warm_1e-02,2,4.2091654122e-04,3.3332635854e-04,3.5803486838e-01,3.0454723068e+02,0.7816180307
picard,warm_1e-02,3,2.1129092506e-04,1.0776304805e-04,5.0197819370e-01,1.1925836705e+03,0.6709978498
picard,warm_1e-02,4,2.1129092506e-04,0.0000000000e+00,1.0000000000e+00,4.7328109323e+03,-0.0000000000
newton,warm_1e-04,0,3.3119908570e-04,1.0000014752e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000
newton,warm_1e-04,1,8.9594742040e-09,7.1815035413e-09,2.7051627226e-05,8.1677843914e-02,0.0000000000
newton,warm_1e-04,2,6.1931673733e-16,5.0214885850e-16,6.9124227966e-08,7.7152103340e+00,1.5675728690
picard,warm_1e-04,0,1.1099199577e-04,6.7776046319e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000
picard,warm_1e-04,1,1.1099199577e-04,0.0000000000e+00,1.0000000000e+00,9.0096586972e+03,0.0000000000
