test_case,level,N_subdiv,h,N_vtx,L2_error,H1_error,rate_L2,rate_H1
1,0,2,0.5,9,0,0,0,0
1,1,4,0.25,25,0,0,0,0
1,2,8,0.125,81,0,0,0,0
1,3,16,0.0625,289,0,0,0,0
1,4,32,0.03125,1089,0,0,0,0
1,5,64,0.015625,4225,0,0,0,0
2,0,2,0.523599,19,0,0,0,0
2,1,4,0.261799,61,0,0,0,0
2,2,8,0.1309,217,0,0,0,0
2,3,16,0.0654498,817,0,0,0,0
2,4,32,0.0327249,3169,0,0,0,0
3,0,8,0.25,81,0.000201561,0.11967,0,0
3,1,16,0.125,289,5.45235e-05,0.0601804,1.88627,0.991702
3,2,32,0.0625,1089,1.38195e-05,0.030135,1.98017,0.997854
3,3,64,0.03125,4225,3.465e-06,0.0150731,1.99578,0.999459
3,4,128,0.015625,16641,8.66853e-07,0.00753728,1.999,0.999864
