init,iter,residual_norm,correction_norm,lin_ratio,quad_ratio,loglog_slope
cold,0,8.3529355531e-01,2.6713278149e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000
cold,1,1.6768836790e-01,3.0845933696e-01,2.0075381504e-01,2.4033923614e-01,0.0000000000
cold,2,2.3107188578e-02,3.7311017184e-02,1.3779839870e-01,8.2175287663e-01,1.2343484219
cold,3,4.0642515605e-04,9.2665611146e-04,1.7588689108e-02,7.6117823889e-01,2.0386344978
cold,4,2.1455985177e-07,3.6951299610e-07,5.2791971307e-04,1.2989346383e+00,1.8677311593
cold,5,3.8670472642e-14,8.1444193434e-14,1.8023163385e-07,8.4000633092e-01,2.0577600792
warm_1e-01,0,3.5536804746e-01,1.0156197908e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000
warm_1e-01,1,1.1958922436e-02,6.4198573345e-03,3.3652216403e-02,9.4696798552e-02,0.0000000000
warm_1e-01,2,3.7712230047e-05,1.6757887988e-05,3.1534806125e-03,2.6369270554e-01,1.6980536675
warm_1e-01,3,6.7729738841e-10,3.2404727128e-10,1.7959621788e-05,4.7622805029e-01,1.8973629272
warm_1e-01,4,6.8593508021e-16,4.7976535605e-16,1.0127531745e-06,1.4952858107e+03,1.2631419671
warm_1e-02,0,3.5016873800e-02,9.9972483342e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000
warm_1e-02,1,1.0192707830e-04,7.3223416667e-05,2.9107989160e-03,8.3125607748e-02,0.0000000000
warm_1e-02,2,3.9188043765e-09,2.0687060676e-09,3.8447137325e-05,3.7720238789e-01,1.7409926022
warm_1e-02,3,5.7114002232e-16,5.1947013708e-16,1.4574343791e-07,3.7190791861e+01,1.5484032664
warm_1e-04,0,3.3119908570e-04,1.0000014752e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000
warm_1e-04,1,8.9594742040e-09,7.1815035413e-09,2.7051627226e-05,8.1677843914e-02,0.0000000000
warm_1e-04,2,6.1931673733e-16,5.0214885850e-16,6.9124227966e-08,7.7152103340e+00,1.5675728690
