part,alpha,N,h,M,kappa,log_slope,sqrt_kappa,cg_iters,cg_over_sqrtk
1,0.785398,4,0.5,1,7.83106,0,2.7984,25,8.93367
1,0.785398,8,0.25,1,38.1282,-2.28358,6.17481,74,11.9842
1,0.785398,16,0.125,1,163.288,-2.09849,12.7784,160,12.5211
1,0.785398,32,0.0625,1,676.798,-2.05131,26.0153,298,11.4548
1,0.785398,64,0.03125,1,2758.14,-2.0269,52.518,631,12.0149
2,0.392699,32,0.0625,0.414214,1e+30,0,1e+15,200000,2e-10
2,0.785398,32,0.0625,1,676.798,-116.979,26.0153,315,12.1082
2,1.1781,32,0.0625,2.41421,1635.31,0.718446,40.439,406,10.0398
2,1.41372,32,0.0625,6.31375,5243.76,0.651266,72.4138,609,8.41
2,1.49226,32,0.0625,12.7062,11472.3,0.567265,107.109,834,7.78649
3,0.392699,8,0.25,0.414214,27.3594,1.34844,5.23062,67,0
3,0.392699,16,0.125,0.414214,112.504,1.38622,10.6068,129,0
3,0.392699,32,0.0625,0.414214,1e+30,3.08039e+27,1e+15,200000,0
3,0.785398,8,0.25,1,38.1282,0.842523,6.17481,75,0
3,0.785398,16,0.125,1,163.288,0.902048,12.7784,151,0
3,0.785398,32,0.0625,1,676.798,0.934704,26.0153,320,0
3,1.1781,8,0.25,2.41421,81.7512,0.286347,9.04164,85,0
3,1.1781,16,0.125,2.41421,381.967,0.334476,19.544,202,0
3,1.1781,32,0.0625,2.41421,1635.31,0.357997,40.439,445,0
3,1.41372,8,0.25,6.31375,209.627,0.0501561,14.4785,110,0
3,1.41372,16,0.125,6.31375,1144.77,0.0684753,33.8344,281,0
3,1.41372,32,0.0625,6.31375,5243.76,0.0784152,72.4138,630,0
